sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,SOA,acc,RT,block,problem_size,timing
sj00,31,male,5,6,22,30,30,0,unrelated,product,NA,NA,SOA_170,1,684,1,small,ok
sj00,31,male,7,4,28,28,34,0,product,unrelated,inconsistent,unrel_inc,SOA_120,0,1128,1,small,ok
sj00,31,male,5,5,25,25,-1,0,product,neutral,NA,neutral,SOA_170,1,700,1,small,ok
sj00,31,male,3,7,23,21,21,0,unrelated,product,NA,NA,SOA_120,1,1460,1,small,ok
sj00,31,male,3,5,20,15,15,0,neighbour,product,NA,NA,SOA_120,1,1285,1,small,ok
sj00,31,male,7,6,47,42,42,0,unrelated,product,NA,NA,SOA_120,1,1257,1,large,ok
sj00,31,male,8,5,47,40,40,0,unrelated,product,NA,NA,SOA_070,1,795,1,large,ok
sj00,31,male,5,5,30,25,25,0,neighbour,product,NA,NA,SOA_170,1,777,1,small,ok
sj00,31,male,5,6,30,30,24,0,product,neighbour,inconsistent,neigh_inc,SOA_120,0,1435,1,small,ok
sj00,31,male,7,7,49,49,-1,0,product,neutral,NA,neutral,SOA_170,1,602,1,large,ok
sj00,31,male,5,8,40,40,33,0,product,unrelated,inconsistent,unrel_inc,SOA_120,0,1670,1,large,ok
sj00,31,male,5,5,25,25,34,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,629,1,small,ok
sj00,31,male,8,4,32,32,37,0,product,unrelated,consistent,unrel_con,SOA_120,0,1356,1,large,ok
sj00,31,male,3,5,10,15,-1,0,neighbour,neutral,NA,neutral,SOA_070,0,1338,1,small,ok
sj00,31,male,7,7,49,49,42,0,product,neighbour,consistent,neigh_con,SOA_070,1,867,1,large,ok
sj00,31,male,8,5,48,40,40,0,neighbour,product,NA,NA,SOA_120,0,1771,1,large,ok
sj00,31,male,3,7,21,21,24,0,product,neighbour,consistent,neigh_con,SOA_120,0,1173,1,small,ok
sj00,31,male,4,7,32,28,28,0,neighbour,product,NA,NA,SOA_070,0,1416,1,small,ok
sj00,31,male,4,4,16,16,12,0,product,neighbour,consistent,neigh_con,SOA_170,1,971,2,small,ok
sj00,31,male,5,5,22,25,25,0,unrelated,product,NA,NA,SOA_070,1,709,2,small,ok
sj00,31,male,3,5,10,15,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,973,2,small,ok
sj00,31,male,7,7,56,49,49,0,neighbour,product,NA,NA,SOA_120,1,1223,2,large,ok
sj00,31,male,8,4,32,32,-1,0,product,neutral,NA,neutral,SOA_120,0,1911,2,large,ok
sj00,31,male,7,3,18,21,-1,0,neighbour,neutral,NA,neutral,SOA_170,0,NA,2,small,ok
sj00,31,male,3,6,18,18,15,0,product,neighbour,consistent,neigh_con,SOA_070,0,1743,2,small,ok
sj00,31,male,6,6,42,36,-1,0,neighbour,neutral,NA,neutral,SOA_170,0,1416,2,large,ok
sj00,31,male,6,3,17,18,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,794,2,small,ok
sj00,31,male,4,4,23,16,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,968,2,small,ok
sj00,31,male,8,5,40,40,33,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,588,2,large,ok
sj00,31,male,7,7,49,49,52,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,573,2,large,ok
sj00,31,male,8,6,53,48,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,1686,2,large,ok
sj00,31,male,4,7,26,28,-1,0,unrelated,neutral,NA,neutral,SOA_120,0,1387,2,small,ok
sj00,31,male,7,5,30,35,-1,0,neighbour,neutral,NA,neutral,SOA_070,1,907,2,large,ok
sj00,31,male,7,7,46,49,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,907,2,large,ok
sj00,31,male,6,5,36,30,-1,0,neighbour,neutral,NA,neutral,SOA_070,0,1195,2,small,ok
sj00,31,male,4,8,36,32,-1,0,neighbour,neutral,NA,neutral,SOA_070,0,1129,2,large,ok
sj00,31,male,7,6,42,42,36,0,product,neighbour,inconsistent,neigh_inc,SOA_070,1,1108,2,large,ok
sj00,31,male,3,7,19,21,-1,0,unrelated,neutral,NA,neutral,SOA_070,1,956,2,small,ok
sj00,31,male,7,7,49,49,-1,0,product,neutral,NA,neutral,SOA_120,1,538,2,large,ok
