sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,SOA,acc,RT,block,problem_size,timing
sj01,24,female,4,8,29,32,36,0,not_product,number,SOA_170,1,581,2,large,ok
sj01,24,female,4,4,23,16,-1,0,not_product,letter,SOA_170,1,597,2,small,ok
sj01,24,female,6,8,48,48,-1,0,product,letter,SOA_050,1,555,2,large,ok
sj01,24,female,6,6,36,36,-1,0,product,letter,SOA_170,0,601,2,large,ok
sj01,24,female,3,6,18,18,-1,0,product,letter,SOA_220,1,469,2,small,ok
sj01,24,female,5,6,30,30,-1,0,product,letter,SOA_050,1,515,2,small,ok
sj01,24,female,5,5,20,25,30,0,not_product,number,SOA_220,0,1193,2,small,ok
sj01,24,female,4,4,23,16,20,0,not_product,number,SOA_050,1,471,2,small,ok
sj01,24,female,4,8,37,32,28,0,not_product,number,SOA_050,1,374,2,large,ok
sj01,24,female,6,8,48,48,54,0,product,number,SOA_050,1,376,2,large,ok
sj01,24,female,5,8,40,40,47,0,product,number,SOA_050,0,330,2,large,ok
sj01,24,female,5,7,31,35,41,0,not_product,number,SOA_050,0,628,2,large,ok
sj01,24,female,6,7,48,42,36,0,not_product,number,SOA_220,0,812,2,large,ok
sj01,24,female,6,7,42,42,48,0,product,number,SOA_170,0,503,2,large,ok
sj01,24,female,6,8,43,48,54,0,not_product,number,SOA_170,0,567,2,large,ok
sj01,24,female,6,7,42,42,-1,0,product,letter,SOA_050,1,347,2,large,ok
sj01,24,female,4,8,32,32,36,0,product,number,SOA_220,0,555,2,large,ok
sj01,24,female,4,5,16,20,-1,0,not_product,letter,SOA_220,1,762,2,small,ok
sj01,24,female,4,7,28,28,-1,0,product,letter,SOA_220,1,725,2,small,ok
sj01,24,female,5,7,40,35,-1,0,not_product,letter,SOA_050,1,825,2,large,ok
sj01,24,female,4,8,32,32,28,0,product,number,SOA_050,1,378,2,large,ok
sj01,24,female,5,6,36,30,24,0,not_product,number,SOA_050,1,460,2,small,ok
sj01,24,female,5,8,40,40,-1,0,product,letter,SOA_220,1,804,2,large,ok
sj01,24,female,4,8,37,32,-1,0,not_product,letter,SOA_170,1,696,2,large,ok
sj01,24,female,5,6,22,30,36,0,not_product,number,SOA_170,1,1258,2,small,ok
sj01,24,female,3,7,21,21,-1,0,product,letter,SOA_220,1,707,2,small,ok
sj01,24,female,3,5,20,15,-1,0,not_product,letter,SOA_050,1,379,2,small,ok
sj01,24,female,3,7,21,21,18,0,product,number,SOA_220,0,829,2,small,ok
sj01,24,female,5,7,30,35,-1,0,not_product,letter,SOA_170,1,499,2,large,ok
sj01,24,female,4,7,32,28,24,0,not_product,number,SOA_050,1,547,2,small,ok
sj01,24,female,4,8,32,32,36,0,product,number,SOA_170,1,1052,2,large,ok
sj01,24,female,4,4,16,16,13,0,product,number,SOA_170,0,598,2,small,ok
sj01,24,female,3,6,17,18,-1,0,not_product,letter,SOA_170,1,540,2,small,ok
sj01,24,female,5,7,35,35,-1,0,product,letter,SOA_170,1,372,2,large,ok
sj01,24,female,6,8,54,48,53,0,not_product,number,SOA_220,0,694,2,large,ok
sj01,24,female,6,8,48,48,53,0,product,number,SOA_220,0,505,2,large,ok
sj01,24,female,4,4,20,16,-1,0,not_product,letter,SOA_220,1,536,2,small,ok
sj01,24,female,5,5,20,25,-1,0,not_product,letter,SOA_170,1,475,2,small,ok
sj01,24,female,5,5,22,25,30,0,not_product,number,SOA_050,0,473,2,small,ok
sj01,24,female,7,7,49,49,-1,0,product,letter,SOA_220,1,503,2,large,ok
sj01,24,female,4,7,28,28,24,0,product,number,SOA_050,1,487,2,small,ok
sj01,24,female,3,7,21,21,-1,0,product,letter,SOA_170,1,507,2,small,ok
sj01,24,female,7,7,49,49,-1,0,product,letter,SOA_050,1,316,2,large,ok
sj01,24,female,5,8,32,40,48,0,not_product,number,SOA_220,1,538,2,large,ok
sj01,24,female,3,6,18,18,21,0,product,number,SOA_050,1,396,2,small,ok
sj01,24,female,5,5,25,25,-1,0,product,letter,SOA_050,1,410,2,small,ok
sj01,24,female,4,5,24,20,-1,0,not_product,letter,SOA_170,1,436,2,small,ok
sj01,24,female,3,5,15,15,-1,0,product,letter,SOA_170,1,490,2,small,ok
sj01,24,female,6,6,36,36,41,0,product,number,SOA_220,0,516,2,large,ok
sj01,24,female,5,6,30,30,-1,0,product,letter,SOA_220,1,523,2,small,ok
sj01,24,female,6,8,48,48,-1,0,product,letter,SOA_170,1,423,2,large,ok
sj01,24,female,3,6,18,18,-1,0,product,letter,SOA_050,1,359,2,small,ok
sj01,24,female,4,5,20,20,-1,0,product,letter,SOA_220,0,621,2,small,ok
sj01,24,female,4,4,16,16,-1,0,product,letter,SOA_220,0,1077,2,small,ok
sj01,24,female,7,7,42,49,-1,0,not_product,letter,SOA_220,1,555,2,large,ok
sj01,24,female,3,6,21,18,23,0,not_product,number,SOA_220,1,649,2,small,ok
sj01,24,female,3,6,18,18,21,0,product,number,SOA_170,1,740,2,small,ok
sj01,24,female,6,6,36,36,31,0,product,number,SOA_050,1,404,2,large,ok
sj01,24,female,3,7,19,21,18,0,not_product,number,SOA_220,1,600,2,small,ok
sj01,24,female,3,5,10,15,23,0,not_product,number,SOA_050,1,468,2,small,ok
sj01,24,female,3,6,23,18,21,0,not_product,number,SOA_170,0,419,2,small,ok
sj01,24,female,4,4,16,16,20,0,product,number,SOA_050,1,429,2,small,ok
sj01,24,female,7,7,49,49,42,0,product,number,SOA_170,0,365,2,large,ok
sj01,24,female,3,7,21,21,19,0,product,number,SOA_050,1,329,2,small,ok
sj01,24,female,6,7,42,42,36,0,product,number,SOA_220,1,797,2,large,ok
sj01,24,female,3,7,19,21,-1,0,not_product,letter,SOA_170,1,395,2,small,ok
sj02,18,male,4,4,12,16,-1,0,not_product,letter,SOA_170,1,571,1,small,ok
sj02,18,male,5,5,20,25,-1,0,not_product,letter,SOA_050,1,389,1,small,ok
sj02,18,male,3,6,18,18,23,0,product,number,SOA_050,1,548,1,small,ok
sj02,18,male,7,7,49,49,46,0,product,number,SOA_170,0,412,1,large,ok
sj02,18,male,5,5,25,25,-1,0,product,letter,SOA_050,1,374,1,small,ok
sj02,18,male,6,8,48,48,-1,0,product,letter,SOA_050,0,504,1,large,ok
sj02,18,male,5,5,25,25,20,0,product,number,SOA_220,0,888,1,small,ok
sj02,18,male,4,4,23,16,-1,0,not_product,letter,SOA_220,1,1245,1,small,ok
sj02,18,male,3,7,21,21,23,0,product,number,SOA_170,0,825,1,small,ok
sj02,18,male,4,8,28,32,-1,0,not_product,letter,SOA_170,1,537,1,large,ok
sj02,18,male,4,5,23,20,17,0,not_product,number,SOA_220,1,683,1,small,ok
sj02,18,male,3,7,21,21,19,0,product,number,SOA_220,1,663,1,small,ok
